Country_Name;Country_Code;Latitude;Longitude
Aruba;ABW;12.52;-69.98
Afghanistan;AFG;33.77;66.24
Angola;AGO;-11.88;17.57
Anguilla;AIA;18.2;-63.08
Albania;ALB;41.0;20.0
Andorra;AND;42.54;1.57
United Arab Emirates;ARE;24.0;54.0
Argentina;ARG;-35.0;-64.97
Armenia;ARM;40.77;44.67
American Samoa;ASM;-14.3;-170.71
Antarctica;ATA;-79.41;0.31
French Southern Territories;ATF;-49.24;69.62
Antigua and Barbuda;ATG;17.22;-61.96
Australia;AUS;-24.78;134.76
Austria;AUT;47.59;14.12
Azerbaijan;AZE;40.39;47.79
Burundi;BDI;-3.43;29.93
Belgium;BEL;50.64;4.67
Benin;BEN;9.53;2.26
Burkina Faso;BFA;12.08;-1.69
Bangladesh;BGD;24.48;90.29
Bulgaria;BGR;42.61;25.49
Bahrain;BHR;26.16;50.53
Bahamas;BHS;24.77;-78.0
Bosnia and Herzegovina;BIH;44.31;17.6
Saint Barthélemy;BLM;17.9;-62.81
Belarus;BLR;53.43;27.7
Belize;BLZ;16.83;-88.76
Bermuda;BMU;32.3;-64.76
Bolivia;BOL;-17.06;-64.99
Brazil;BRA;-10.33;-53.2
Barbados;BRB;13.15;-59.53
Brunei Darussalam;BRN;4.41;114.57
Bhutan;BTN;27.55;90.51
Bouvet Island;BVT;-54.42;3.36
Botswana;BWA;-23.17;24.59
Central African Republic;CAF;7.03;20.0
Canada;CAN;61.07;-107.99
Cocos (Keeling) Islands;CCK;-12.07;96.84
Switzerland;CHE;46.8;8.23
Chile;CHL;-31.76;-71.32
China;CHN;35.0;105.0
Côte d'Ivoire;CIV;7.99;-5.57
Cameroon;CMR;4.61;13.15
Congo;COG;-2.98;23.82
Cook Islands;COK;-20.0;-157.79
Colombia;COL;4.1;-72.91
Comoros;COM;-12.2;44.28
Cabo Verde;CPV;16.0;-24.01
Costa Rica;CRI;10.27;-84.07
Cuba;CUB;23.01;-80.83
Curaçao;CUW;12.21;-69.04
Christmas Island;CXR;-10.49;105.62
Cayman Islands;CYM;19.7;-79.92
Cyprus;CYP;34.98;33.15
Czechia;CZE;49.74;15.34
Germany;DEU;51.16;10.45
Djibouti;DJI;11.81;42.85
Dominica;DMA;19.1;-70.3
Denmark;DNK;55.67;10.33
Dominican Republic;DOM;19.1;-70.3
Algeria;DZA;28.0;3.0
Ecuador;ECU;-1.34;-79.37
Egypt;EGY;26.25;29.27
Eritrea;ERI;15.95;38.0
Western Sahara;ESH;24.18;-13.77
Spain;ESP;39.33;-4.84
Estonia;EST;58.75;25.33
Ethiopia;ETH;10.21;38.65
Finland;FIN;63.25;25.92
Fiji;FJI;-18.12;179.01
Falkland Islands (Malvinas);FLK;-51.95;-59.54
France;FRA;46.6;1.89
Faroe Islands;FRO;62.04;-7.03
Micronesia;FSM;8.61;151.83
Gabon;GAB;-0.9;11.69
United Kingdom;GBR;54.7;-3.28
Georgia;GEO;32.33;-83.11
Ghana;GHA;8.03;-1.08
Gibraltar;GIB;36.13;-5.35
Guinea;GIN;10.72;-10.71
Gambia;GMB;13.47;-15.49
Guinea-Bissau;GNB;11.82;-15.24
Equatorial Guinea;GNQ;1.61;10.52
Greece;GRC;39.0;21.99
Grenada;GRD;12.14;-61.69
Greenland;GRL;77.62;-42.81
Guatemala;GTM;15.59;-90.35
Guam;GUM;13.45;144.76
Guyana;GUY;4.84;-58.64
Hong Kong;HKG;22.28;114.16
Heard Island and McDonald Islands;HMD;-53.02;72.96
Honduras;HND;15.26;-86.08
Croatia;HRV;45.37;15.66
Haiti;HTI;19.14;-72.36
Hungary;HUN;47.18;19.51
Indonesia;IDN;-2.48;117.89
India;IND;22.35;78.67
British Indian Ocean Territory;IOT;-5.35;71.86
Ireland;IRL;52.87;-7.98
Iran;IRN;32.65;54.56
Iraq;IRQ;33.1;44.17
Iceland;ISL;64.98;-18.11
Israel;ISR;30.81;34.86
Italy;ITA;42.64;12.67
Jamaica;JAM;18.19;-77.39
Jordan;JOR;31.17;36.94
Japan;JPN;36.57;139.24
Kazakhstan;KAZ;48.1;66.78
Kenya;KEN;1.44;38.43
Kyrgyzstan;KGZ;41.51;74.72
Cambodia;KHM;12.54;104.81
Kiribati;KIR;0.34;173.66
Saint Kitts and Nevis;KNA;17.25;-62.67
Korea;KOR;55.82;49.13
Kuwait;KWT;29.27;47.5
